_id,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
o_tasks/9badd73a-76a8-4547-bcc2-70fdde19a478,17795,"Prepare and apply weather-stripping, glazing, caulking, or door sweeps to reduce energy losses.",Core,30,07/2012,Occupational Expert
o_tasks/2477e2bf-219c-4b17-99d9-2410766cec7e,17794,"Make minor repairs using basic hand or power tools and materials, such as glass, lumber, and drywall.",Core,30,07/2012,Occupational Expert
o_tasks/73cce301-2ac9-4805-b372-8f6ae58cabff,17798,Wrap water heaters with water heater blankets.,Core,30,07/2012,Occupational Expert
o_tasks/54e9e7ec-3549-4402-a1fa-803f661ed718,17799,"Apply spackling, compounding, or other materials to repair holes in walls.",Core,30,07/2012,Occupational Expert
o_tasks/42438c17-b051-4ad3-b14b-e79e0417ecf9,17793,Install storm windows or storm doors and verify proper fit.,Supplemental,30,07/2012,Occupational Expert
o_tasks/ca081491-83fa-4e3c-bdbc-efd8fdfe08b9,9889,"Inspect derricks, or order their inspection, prior to being raised or lowered.",Core,80,06/2006,Incumbent
o_tasks/4266061f-8b31-4e3c-9ebb-3162c136b661,9890,"Inspect derricks for flaws, and clean and oil derricks to maintain proper working conditions.",Core,80,06/2006,Incumbent
o_tasks/ec2fb441-f1d1-4759-8699-d0609d137fc1,9891,Control the viscosity and weight of the drilling fluid.,Core,79,06/2006,Incumbent
o_tasks/4aae7c58-0e2f-4ac7-ba38-19d2894e4c88,9892,"Repair pumps, mud tanks, and related equipment.",Core,80,06/2006,Incumbent
o_tasks/128326f0-cd20-4703-96b6-97dcd55014cd,9893,Set and bolt crown blocks to posts at tops of derricks.,Core,77,06/2006,Incumbent
o_tasks/95435ce7-2433-4e76-bb87-5203306281eb,9894,Listen to mud pumps and check regularly for vibration and other problems to ensure that rig pumps and drilling mud systems are working properly.,Core,80,06/2006,Incumbent
o_tasks/6145a5d8-fa79-4ed2-bf0b-f839a6d78d8c,9895,Start pumps that circulate mud through drill pipes and boreholes to cool drill bits and flush out drill cuttings.,Core,78,06/2006,Incumbent
o_tasks/58c58bbb-0e6c-4cc8-91cc-db1d68c79b14,9896,"Position and align derrick elements, using harnesses and platform climbing devices.",Core,77,06/2006,Incumbent
o_tasks/10c107a4-43e5-4fd0-b1a8-5c2e7f8ed63e,9897,"Supervise crew members, and provide assistance in training them.",Core,80,06/2006,Incumbent
o_tasks/7c93e54c-0d50-43c9-9467-01ce039fa04c,9898,Guide lengths of pipe into and out of elevators.,Core,81,06/2006,Incumbent
o_tasks/93d5e986-79e6-4a24-899d-1e7f9446e428,9899,"Prepare mud reports, and instruct crews about the handling of any chemical additives.",Core,79,06/2006,Incumbent
o_tasks/31cb8926-5d65-4037-8153-ab094a488c49,9900,Clamp holding fixtures on ends of hoisting cables.,Core,78,06/2006,Incumbent
o_tasks/d7441e02-e7f9-4679-a370-f61a4201fa2b,9901,"Weigh clay, and mix with water and chemicals to make drilling mud, using portable mixers.",Core,77,06/2006,Incumbent
o_tasks/b618ba20-aa91-4170-9f5c-53df010cd33f,9902,String cables through pulleys and blocks.,Core,78,06/2006,Incumbent
o_tasks/fd418fe7-8655-4137-8aaf-3917ebaa8457,9903,Steady pipes during connection to or disconnection from drill or casing strings.,Core,79,06/2006,Incumbent
o_tasks/a4e8365d-c7d8-4c51-9022-ad67ea3c258b,8296,"Train crews, and introduce procedures to make drill work more safe and effective.",Core,105,12/2005,Incumbent
o_tasks/85f9fc33-b7a7-4348-b5b6-be225553a6a2,8297,"Observe pressure gauge and move throttles and levers to control the speed of rotary tables, and to regulate pressure of tools at bottoms of boreholes.",Core,106,12/2005,Incumbent
o_tasks/e879a55a-59c3-4f12-bdf4-4358ebe4e928,8298,Count sections of drill rod to determine depths of boreholes.,Core,103,12/2005,Incumbent
o_tasks/872ee3cd-4ec2-4ee3-b5ba-87b7dd1cfba0,8299,"Push levers and brake pedals to control gasoline, diesel, electric, or steam draw works that lower and raise drill pipes and casings in and out of wells.",Core,106,12/2005,Incumbent
o_tasks/dbf56820-8bcf-40ad-9d4b-c59d47400fa6,8300,"Connect sections of drill pipe, using hand tools and powered wrenches and tongs.",Core,106,12/2005,Incumbent
o_tasks/52f434d0-6ac0-438b-b0ba-6f60d1b364b3,8301,"Maintain records of footage drilled, location and nature of strata penetrated, materials and tools used, services rendered, and time required.",Core,105,12/2005,Incumbent
o_tasks/1c0dee08-ca25-40ad-b47f-508b219e2362,8302,Maintain and adjust machinery to ensure proper performance.,Core,106,12/2005,Incumbent
o_tasks/a4060198-01a7-4379-8037-bde04c8bd488,8303,Start and examine operation of slush pumps to ensure circulation and consistency of drilling fluid or mud in well.,Core,105,12/2005,Incumbent
o_tasks/fc67ad01-f685-44d2-8a36-9e1401fa446e,8304,"Locate and recover lost or broken bits, casings, and drill pipes from wells, using special tools.",Core,106,12/2005,Incumbent
o_tasks/6eaecd97-66d5-45e5-a62f-7695a5ce000d,8305,"Weigh clay, and mix with water and chemicals to make drilling mud.",Core,105,12/2005,Incumbent
o_tasks/4e423c83-bba6-46d1-a82d-c4a062c76d0d,8306,"Direct rig crews in drilling and other activities, such as setting up rigs and completing or servicing wells.",Core,104,12/2005,Incumbent
o_tasks/e11403aa-17c2-4ca3-b723-886bdab90ce0,8307,"Monitor progress of drilling operations, and select and change drill bits according to the nature of strata, using hand tools.",Core,103,12/2005,Incumbent
o_tasks/ec2f8e87-9ece-45e5-96e7-26cca5539c02,8308,"Repair or replace defective parts of machinery, such as rotary drill rigs, water trucks, air compressors, and pumps, using hand tools.",Core,106,12/2005,Incumbent
o_tasks/70550e60-f8b4-48b8-bd9b-3d177755a5e4,8309,"Clean and oil pulleys, blocks, and cables.",Core,106,12/2005,Incumbent
o_tasks/0d040416-62a6-4603-a636-b901226e3733,8310,"Bolt together pump and engine parts, and connect tanks and flow lines.",Core,104,12/2005,Incumbent
o_tasks/b653ffff-f693-4490-a871-4a63255d0b47,8311,Remove core samples during drilling to determine the nature of the strata being drilled.,Core,106,12/2005,Incumbent
o_tasks/fcee19ee-6024-4a14-a536-2cdb13285237,8312,"Cap wells with packers, or turn valves, to regulate outflow of oil from wells.",Supplemental,106,12/2005,Incumbent
o_tasks/cb5c1ff4-fe27-4bc7-bb39-4788ce8eef2c,8313,"Line drilled holes with pipes, and install all necessary hardware, to prepare new wells.",Supplemental,105,12/2005,Incumbent
o_tasks/76cd6340-4c21-42df-b087-cce07e5210fe,8314,Position and prepare truck-mounted derricks at drilling areas specified on field maps.,Supplemental,104,12/2005,Incumbent
o_tasks/9bccb770-b095-4e38-b44c-220e798c9da7,8315,"Plug observation wells, and restore sites.",Supplemental,105,12/2005,Incumbent
o_tasks/75405c41-3497-4a92-b1fd-596f29d77654,8316,Lower and explode charges in boreholes to start flow of oil from wells.,Supplemental,104,12/2005,Incumbent
o_tasks/5a79e7cf-8e8f-40a8-bfb4-9ab502fe8086,8317,"Dig holes, set forms, and mix and pour concrete, for foundations of steel or wooden derricks.",Supplemental,105,12/2005,Incumbent
o_tasks/df3e63fb-7127-4654-825f-3b847113a9f6,20451,Maintain and perform safety inspections on equipment and tools.,Core,49,07/2013,Incumbent
o_tasks/d310b2c5-2adc-4d63-8b57-5eb678764cc4,7080,Operate controls that raise derricks or level rigs.,Core,49,07/2013,Incumbent
o_tasks/55bfc067-8a14-47ee-a475-360f5e8131e1,20452,"Listen to engines, rotary chains, or other equipment to detect faulty operations or unusual well conditions.",Core,48,07/2013,Incumbent
o_tasks/dd619122-82fc-48e5-9597-6c8c1e23c921,7083,"Prepare reports of services rendered, tools used, or time required, for billing purposes.",Core,48,07/2013,Incumbent
o_tasks/e7ffd800-968d-4773-b58d-6556421c0071,7076,Install pressure-control devices onto wellheads.,Core,49,07/2013,Incumbent
o_tasks/0472317a-fd8b-45b1-94ae-ddec57657d5e,7074,Confer with others to gather information regarding pipe or tool sizes or borehole conditions in wells.,Core,48,07/2013,Incumbent
o_tasks/b54bc469-6213-4a0a-a846-681e79dd7bfa,7078,"Operate pumps that circulate water, oil, or other fluids through wells to remove sand or other materials obstructing the free flow of oil.",Core,49,07/2013,Incumbent
o_tasks/1ebb2824-8991-461b-9e93-b930e3bb6c86,7075,Drive truck-mounted units to well sites.,Core,49,07/2013,Incumbent
o_tasks/f23cc8f2-52b0-4ad8-b7af-b4b13a03849b,7088,Interpret instrument readings to ascertain the depth of obstruction.,Core,47,07/2013,Incumbent
o_tasks/9bcd394d-1b0f-4705-8e08-101e8d37cfb3,7077,"Thread cables through derrick pulleys, using hand tools.",Core,49,07/2013,Incumbent
o_tasks/4c4afc7b-273e-4000-8c97-ecf8dcf35f35,7085,"Select fishing methods or tools for removing obstacles such as liners, broken casing, screens, or drill pipe.",Core,48,07/2013,Incumbent
o_tasks/1633010b-217d-41a8-8c65-00df054ca0af,7079,Close and seal wells no longer in use.,Core,49,07/2013,Incumbent
o_tasks/4559313a-ddcb-4d02-8859-e917dccd9ebf,7081,"Direct drilling crews performing activities such as assembling and connecting pipe, applying weights to drill pipes, or drilling around lodged obstacles.",Supplemental,48,07/2013,Incumbent
o_tasks/04e4d8c2-ad27-49e6-bf91-5a3cfbfef166,19874,"Apply green technologies or techniques such as the use of coiled tubing, slim-hole drilling, horizontal drilling, hydraulic fracturing, or gas lift systems.",Supplemental,49,07/2013,Incumbent
o_tasks/cab53ad4-983c-4a82-a87e-f6389331e86f,7084,Operate specialized equipment to remove obstructions by backing-off or severing pipes by chemical or explosive action.,Supplemental,47,07/2013,Incumbent
o_tasks/fdbc3aca-9193-4952-93c4-a4cc6e88a987,7082,Perforate well casings or sidewalls of boreholes with explosive charges.,Supplemental,48,07/2013,Incumbent
o_tasks/4a087020-7720-4d85-89f1-950008c1acc2,7086,Examine unserviceable wells to determine actions to be taken to improve well conditions.,Supplemental,48,07/2013,Incumbent
o_tasks/ed81252d-7e30-40db-829d-10e2dbfa060a,7089,Monitor sound wave generating or detecting mechanisms to determine well fluid levels.,Supplemental,47,07/2013,Incumbent
o_tasks/f1e2be82-db69-4209-a2ca-99cec4302af9,7087,Insert detection instruments into wells with obstructions.,Supplemental,48,07/2013,Incumbent
o_tasks/a4ec2d0f-b8ce-44ea-b765-a83a274718ac,13673,Operate controls to stabilize machines and to position and align drills.,Core,52,07/2017,Incumbent
o_tasks/57f3d966-bd10-4fe7-b9bd-da8fe6988249,13671,"Start, stop, and control drilling speed of machines and insertion of casings into holes.",Core,52,07/2017,Incumbent
o_tasks/8b8bd21e-ff7d-4707-a032-d90ad9f845d3,13668,"Regulate air pressure, rotary speed, and downward pressure, according to the type of rock or concrete being drilled.",Core,52,07/2017,Incumbent
o_tasks/cac0e100-df5e-4c4b-a857-2e222e5df404,13674,"Select and attach drill bits and drill rods, adding more rods as hole depths increase, and changing drill bits as needed.",Core,52,07/2017,Incumbent
o_tasks/477a4a89-8d95-4599-a96a-ba10ba2fcde8,13677,"Drive or guide truck-mounted equipment into position, level and stabilize rigs, and extend telescoping derricks.",Core,52,07/2017,Incumbent
o_tasks/de4f2923-7efe-4ecc-b690-e5b9db363b83,13676,Operate machines to flush earth cuttings or to blow dust from holes.,Core,52,07/2017,Incumbent
o_tasks/59bd544c-613b-43d1-b8cf-19c9ca175781,13670,"Monitor drilling operations, checking gauges and listening to equipment to assess drilling conditions and to determine the need to adjust drilling or alter equipment.",Core,52,07/2017,Incumbent
o_tasks/1e1d36cf-1573-4ebf-9c09-eb96adefbb20,13669,Verify depths and alignments of boring positions.,Core,51,07/2017,Incumbent
o_tasks/a871e884-cadf-4adf-8886-c9aed96ca7d3,13678,"Perform routine maintenance and upgrade work on machines and equipment, such as replacing parts, building up drill bits, and lubricating machinery.",Core,52,07/2017,Incumbent
o_tasks/6777dcc9-1b8c-4760-9c92-cc7c247e08ec,13672,"Select the appropriate drill for the job, using knowledge of rock or soil conditions.",Core,52,07/2017,Incumbent
o_tasks/fe9c59da-5d19-4ca2-9879-8c37257e5545,13686,Document geological formations encountered during work.,Core,52,07/2017,Incumbent
o_tasks/8aaccb79-9a55-4876-8b9e-c2b5ddf027bc,13679,"Drive trucks, tractors, or truck-mounted drills to and from work sites.",Core,52,07/2017,Incumbent
o_tasks/ddfcf7e7-0b2c-4025-a549-01cc85e46eec,13682,"Assemble and position machines, augers, casing pipes, and other equipment, using hand and power tools.",Core,52,07/2017,Incumbent
o_tasks/33adc6cd-b93c-49c7-9792-bd5774adbb38,13680,Record drilling progress and geological data.,Core,52,07/2017,Incumbent
o_tasks/07a6960c-9d44-42e1-93b9-a6afea2a6b79,13681,"Retrieve lost equipment from bore holes, using retrieval tools and equipment.",Core,52,07/2017,Incumbent
o_tasks/7b54b23f-fa06-46b0-8963-ed51e7676e43,13696,Fabricate well casings.,Supplemental,51,07/2017,Incumbent
o_tasks/5a4031c1-b569-4d70-9555-4edd9cc5cf4f,13683,"Pour water into wells, or pump water or slush into wells to cool drill bits and to remove drillings.",Supplemental,52,07/2017,Incumbent
o_tasks/058c4798-0ce5-4c90-b60f-6d7e3c336663,21016,Create and lay out designs for drill and blast patterns.,Supplemental,52,07/2017,Incumbent
o_tasks/357276ba-840d-4dcc-bd7d-17162383155a,13689,"Place and install screens, casings, pumps, and other well fixtures to develop wells.",Supplemental,52,07/2017,Incumbent
o_tasks/b6e8bee2-1f88-4c37-bd79-21d88ee0950f,13684,"Operate water-well drilling rigs and other equipment to drill, bore, and dig for water wells or for environmental assessment purposes.",Supplemental,52,07/2017,Incumbent
o_tasks/f6beac17-a0cb-4101-aff5-795521034618,13692,"Review client requirements and proposed locations for drilling operations to determine feasibility, and to determine cost estimates.",Supplemental,52,07/2017,Incumbent
o_tasks/24424474-9935-4843-bb4e-52a2b4c194f5,13675,"Drill or bore holes in rock for blasting, grouting, anchoring, or building foundations.",Supplemental,52,07/2017,Incumbent
o_tasks/5ef5b916-aab8-48ea-b529-a27d4c953788,13685,Perform pumping tests to assess well performance.,Supplemental,52,07/2017,Incumbent
o_tasks/58160f4b-237b-4632-b168-236f91c9477c,13691,"Disinfect, reconstruct, and redevelop contaminated wells and water pumping systems, and clean and disinfect new wells in preparation for use.",Supplemental,51,07/2017,Incumbent
o_tasks/73be755f-137f-40d9-a2fe-760698be0034,13690,Design well pumping systems.,Supplemental,51,07/2017,Incumbent
o_tasks/71f3d20e-12a1-4e4d-9c65-d82e7a3dc2ae,13694,Signal crane operators to move equipment.,Supplemental,52,07/2017,Incumbent
o_tasks/367a9bbd-3689-4389-be5e-257180cb56ca,13687,"Withdraw drill rods from holes, and extract core samples.",Supplemental,52,07/2017,Incumbent
o_tasks/8f84e0d9-7d22-49d0-bce8-e17e8784f3b2,13695,"Inspect core samples to determine nature of strata, or take samples to laboratories for analysis.",Supplemental,51,07/2017,Incumbent
o_tasks/62a347db-6b51-47c6-ab8d-585788c3b4b2,13688,Retract augers to force discharge dirt from holes.,Supplemental,51,07/2017,Incumbent
o_tasks/3df9aa15-e36e-4dcc-8ed6-497a2911c4a4,13693,Observe electronic graph recorders and flow meters that monitor the water used to flush debris from holes.,Supplemental,52,07/2017,Incumbent
o_tasks/f07ba2bf-c771-4e90-8fcf-feeadcff16ef,9904,Examine blast areas to determine amounts and kinds of explosive charges needed and to ensure that safety laws are observed.,Core,24,06/2006,Occupational Expert
o_tasks/75bb6b1e-f6cb-46eb-955c-721c4930b9eb,9905,Tie specified lengths of delaying fuses into patterns in order to time sequences of explosions.,Core,21,06/2006,Occupational Expert
o_tasks/2f93b44a-20a1-4b44-8371-1535fcea126f,9906,"Place safety cones around blast areas to alert other workers of danger zones, and signal workers as necessary to ensure that they clear blast sites prior to explosions.",Core,23,06/2006,Occupational Expert
o_tasks/080c3cdd-13ff-403d-8b39-0c9de83962b5,9907,"Place explosive charges in holes or other spots; then detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials.",Core,23,06/2006,Occupational Expert
o_tasks/5cc943b6-4dc0-4f39-b14e-6d5d7d2da2d6,9908,"Insert, pack, and pour explosives, such as dynamite, ammonium nitrate, black powder, or slurries into blast holes; then shovel drill cuttings, admit water into boreholes, and tamp material to compact charges.",Core,22,06/2006,Occupational Expert
o_tasks/5a6f6b55-1df2-4c38-912a-02f35ed083ac,9909,"Mark patterns, locations, and depths of charge holes for drilling, and issue drilling instructions.",Core,23,06/2006,Occupational Expert
o_tasks/13547279-1c44-47c3-96df-291c4e019b1d,9910,Compile and keep gun and explosives records in compliance with local and federal laws.,Core,23,06/2006,Occupational Expert
o_tasks/52d7fd8b-e84e-48a8-beff-5a0110de29d2,9911,"Measure depths of drilled blast holes, using weighted tape measures.",Core,22,06/2006,Occupational Expert
o_tasks/3c7a41d3-a422-48b2-8bc9-2e5a519faa5b,9912,"Connect electrical wire to primers, and cover charges or fill blast holes with clay, drill chips, sand, or other material.",Core,24,06/2006,Occupational Expert
o_tasks/aee4e803-6575-464c-8600-8758fe8a4241,9913,"Lay primacord between rows of charged blast holes, and tie cord into main lines to form blast patterns.",Core,22,06/2006,Occupational Expert
o_tasks/729eea8c-c318-4145-ada0-480ee67913b5,9914,"Assemble and position equipment, explosives, and blasting caps in holes at specified depths, or load perforating guns or torpedoes with explosives.",Core,24,06/2006,Occupational Expert
o_tasks/c2e3853f-5a38-4d06-b95f-af561671c9a8,9915,"Verify detonation of charges by observing control panels, or by listening for the sounds of blasts.",Core,24,06/2006,Occupational Expert
o_tasks/f6f3cd32-5e01-4032-811e-5d0d505c24c1,9916,"Move and store inventories of explosives, loaded perforating guns, and other materials, according to established safety procedures.",Core,24,06/2006,Occupational Expert
o_tasks/bdf70b58-2a3c-48cd-b1b2-cc2bf5e8fe8e,9917,"Light fuses, drop detonating devices into wells or boreholes, or activate firing devices with plungers, dials, or buttons, in order to set off single or multiple blasts.",Core,22,06/2006,Occupational Expert
o_tasks/2771d25d-c343-464b-be92-b63ae1c85808,9918,Drive trucks to transport explosives and blasting equipment to blasting sites.,Core,24,06/2006,Occupational Expert
o_tasks/76ccb4ed-c1c5-40b3-8efb-279d76b5cbe8,9919,Cut specified lengths of primacord and attach primers to cord ends.,Core,22,06/2006,Occupational Expert
o_tasks/392e86cd-8446-4790-bc2a-9dbb8aa1d970,9920,"Maintain inventory levels, ordering new supplies as necessary.",Core,24,06/2006,Occupational Expert
o_tasks/4c6154f4-7e8c-467a-b15b-06cdf1f3bd7a,9921,"Set up and operate equipment such as hoists, jackhammers, or drills, in order to bore charge holes.",Core,23,06/2006,Occupational Expert
o_tasks/db2c7789-8045-48c2-b8e6-4fe2c7adce8e,9922,"Repair and service blasting, shooting, and automotive equipment, and electrical wiring and instruments, using hand tools.",Core,24,06/2006,Occupational Expert
o_tasks/2085c448-1a84-4741-8c10-baf34725d650,9923,Set up and operate short-wave radio or field telephone equipment to transmit and receive blast information.,Supplemental,23,06/2006,Occupational Expert
o_tasks/cd8ce6ac-a1f9-4bdc-8746-af58a69ea90a,9924,"Insert waterproof sealers, bullets, and/or powder charges into guns, and screw gun ports back into place.",Supplemental,23,06/2006,Occupational Expert
o_tasks/7c932a24-4d0c-4998-a3a3-bc8d2a46fd1a,9925,"Clean, gauge, and lubricate gun ports.",Supplemental,23,06/2006,Occupational Expert
o_tasks/ef4a0054-0348-4581-9ae8-01781754b040,9926,"Connect gun chambers to electric detonating devices, and operate controls at panelboards, in order to detonate charges in guns or to ignite chemical charges.",Supplemental,23,06/2006,Occupational Expert
o_tasks/871fd10d-bbf9-444d-b079-02681aca8021,9927,"Lower perforating guns into wells, using hoists; then use measuring devices and instrument panels to position guns in correct positions for taking samples.",Supplemental,23,06/2006,Occupational Expert
o_tasks/1cb090a2-7e45-4a9d-b9e2-9f1e5b196624,9928,"Insert powder charges into chambers of sidewall sample-taking cylinders, and assemble cylinders, using special wrenches.",Supplemental,23,06/2006,Occupational Expert
o_tasks/e579738b-7966-4043-954e-f3da73de222e,9929,"Obtain samples of earth from sidewalls of well boreholes, using electrically exploding devices.",Supplemental,23,06/2006,Occupational Expert
o_tasks/6ad84ec1-3368-4c65-ae0c-4419baad21a3,9930,Signal hoist operators to lower torpedoes or sample-taking guns into wells and to raise equipment for sampling from blast holes after detonation.,Supplemental,23,06/2006,Occupational Expert
o_tasks/b3c91722-05e6-44f9-9305-35984a75b9da,9931,"Observe odometers, weight indicators, and instrument panels in trucks in order to position guns at predetermined points in wells.",Supplemental,23,06/2006,Occupational Expert
o_tasks/9f6db869-e111-49b8-bd00-9691e9314cef,9932,"Repair electrical instruments, using electricians' hand tools.",Supplemental,22,06/2006,Occupational Expert
o_tasks/83d1c74d-c028-4ada-9499-b22ec550b34e,20912,Hang ventilation tubing and ventilation curtains to ensure that the mining face area is kept properly ventilated.,Core,74,07/2016,Incumbent
o_tasks/ec31559e-a888-4395-bbd0-cd2b43e2b94b,20913,Conduct methane gas checks to ensure breathing quality of air.,Core,74,07/2016,Incumbent
o_tasks/9f3c9b65-6db7-433c-bea0-0d4a613632f8,20914,Check the stability of roof and rib support systems before mining face areas.,Core,73,07/2016,Incumbent
o_tasks/6ab34ccb-f43c-4feb-9a52-b34032fdf20a,14956,Operate mining machines to gather coal and convey it to floors or shuttle cars.,Core,74,07/2016,Incumbent
o_tasks/9fe7165e-0ecb-43fd-b9d6-76c8c5353348,14959,Drive machines into position at working faces.,Core,74,07/2016,Incumbent
o_tasks/de7aaef4-2708-47a5-93a9-a35ffbdfa553,14960,Move controls to start and regulate movement of conveyors and to start and position drill cutters or torches.,Core,74,07/2016,Incumbent
o_tasks/8e845c6a-d39a-4820-ac07-189a3350e325,14958,Reposition machines to make additional holes or cuts.,Core,74,07/2016,Incumbent
o_tasks/d0d523c0-9139-4fba-bd37-f8831b798faa,14957,"Determine locations, boundaries, and depths of holes or channels to be cut.",Core,74,07/2016,Incumbent
o_tasks/7cb5b832-26f2-4853-ad93-bc51745f9626,14961,Observe and listen to equipment operation to detect binding or stoppage of tools or other equipment malfunctions.,Core,74,07/2016,Incumbent
o_tasks/04bb7f96-ad72-4803-a46e-6e728e33b8e3,14962,"Repair, oil, and adjust machines, and change cutting teeth, using wrenches.",Core,74,07/2016,Incumbent
o_tasks/6b788fc9-8327-426d-911d-7dfeccafadb5,14964,Install casings to prevent cave-ins.,Supplemental,74,07/2016,Incumbent
o_tasks/02533d1f-ff17-4597-bfb9-e7ce56e21720,19876,"Scrape or wash conveyors, using belt scrapers or belt washers, to minimize dust production.",Supplemental,74,07/2016,Incumbent
o_tasks/44b1a6e5-df76-48e1-aa7c-6e7a0c332407,14963,Move levers to raise and lower hydraulic safety bars supporting roofs above machines until other workers complete framing.,Supplemental,72,07/2016,Incumbent
o_tasks/e60f56df-9408-4ee8-95bb-bd9b564c3fd3,19875,Apply new technologies developed to minimize the environmental impact of coal mining.,Supplemental,74,07/2016,Incumbent
o_tasks/a12a6eee-3645-4a09-821f-d74ed13d9d8c,14965,Guide and assist crews laying track and resetting supports and blocking.,Supplemental,74,07/2016,Incumbent
o_tasks/5250e13e-8bdc-4cb7-bc9a-cde13188aa8e,7090,"Position jacks, timbers, or roof supports, and install casings, to prevent cave-ins.",Core,74,07/2005,Incumbent
o_tasks/8a1df4c8-df2e-4ba7-996a-6492d6e6895b,7091,Reposition machines and move controls to make additional holes or cuts.,Core,75,07/2005,Incumbent
o_tasks/53febc8c-da47-478e-b90a-f976e51cab1d,7092,Cut entries between rooms and haulage ways.,Core,71,07/2005,Incumbent
o_tasks/dc7b282a-029e-4b41-a852-6afb21105e36,7093,"Observe indicator lights and gauges, and listen to machine operation to detect binding or stoppage of tools or other equipment problems.",Core,74,07/2005,Incumbent
o_tasks/1d7f76aa-1884-44d0-ad43-6dbdf94e06d8,7094,"Replace worn or broken tools and machine bits and parts, using wrenches, pry bars, and other hand tools, and lubricate machines, using grease guns.",Core,74,07/2005,Incumbent
o_tasks/020348da-5cf0-4edd-9759-7268b4abf17e,7095,"Press buttons to activate conveyor belts, and push or pull chain handles to regulate conveyor movement so that material can be moved or loaded into dinkey cars or dump trucks.",Core,71,07/2005,Incumbent
o_tasks/a930e4fa-00e8-4960-bbac-4696c554f4c8,7096,"Move planer levers to control and adjust the movement of equipment, the speed, height, and depth of cuts, and to rotate swivel cutting booms.",Supplemental,71,07/2005,Incumbent
o_tasks/e5fcb567-e81b-4c02-996c-b0db5572749f,7097,"Cut slots along working faces of coal, salt, or other non-metal deposits to facilitate blasting, by moving levers to start the machine, and to control the vertical reciprocating drills.",Supplemental,72,07/2005,Incumbent
o_tasks/b395c795-1a34-43fe-9526-eea93ca9e6dc,7098,"Signal that machine plow blades are properly positioned, using electronic buzzers or two-way radios.",Supplemental,74,07/2005,Incumbent
o_tasks/f2d582ef-6469-4982-92fb-ae2448f835e9,7099,Cut and move shale from open pits.,Supplemental,74,07/2005,Incumbent
o_tasks/c5245c9f-3423-4bc7-8ec4-4e3a385a2430,7100,"Drive mobile, truck-mounted, or track-mounted drilling or cutting machine in mines and quarries or on construction sites.",Supplemental,71,07/2005,Incumbent
o_tasks/5ab3f6c2-9a31-4376-a437-887d034b33e6,7101,Move controls to start and position drill cutters or torches and advance tools into mines or quarry faces to complete horizontal or vertical cuts.,Supplemental,72,07/2005,Incumbent
o_tasks/ffa510c2-4c7c-44d8-ad4b-6bb29ec706fb,7102,"Advance plow blades through coal strata by remote control, according to electronic or radio signals from the tailer.",Supplemental,74,07/2005,Incumbent
o_tasks/a27b6041-8886-40cc-92d1-9a6ba7753ed0,7103,"Determine locations, boundaries, and depths of holes or channels to be cut.",Supplemental,74,07/2005,Incumbent
o_tasks/3f40e5f3-c1a8-4cb9-9090-d4fce6e42e73,7104,"Signal crew members to adjust the speed of equipment to the rate of installation of roof supports, and to adjust the speed of conveyors to the volume of coal.",Supplemental,74,07/2005,Incumbent
o_tasks/167443de-e4dd-4ce3-9503-f30662d7a7ea,7105,Remove debris such as loose shale from channels and planer travel areas.,Supplemental,73,07/2005,Incumbent
o_tasks/5d5808a9-abc8-4329-968e-ff925f5d1696,7106,Charge and set off explosives in blasting holes.,Supplemental,73,07/2005,Incumbent
o_tasks/006c5a9a-184e-4a24-9148-4028199c25bb,7107,Signal truck drivers to position their vehicles for receiving shale from planer hoppers.,Supplemental,73,07/2005,Incumbent
o_tasks/9ecc83dc-6cd6-46e4-a4ca-34496b2af8a1,7108,Monitor movement of shale along conveyors from hoppers to trucks or railcars.,Supplemental,69,07/2005,Incumbent
o_tasks/bf7a49ac-c37c-41f3-a750-23157f69ce0d,7109,"Guide and assist crews in laying track for machines and resetting planer rails, supports, and blocking, using jacks, shovels, sledges, picks, and pinch bars.",Supplemental,71,07/2005,Incumbent
o_tasks/99970856-af47-4cbe-b3ff-63cc2cd99962,7110,"Free jams in planer hoppers, using metal pinch bars.",Supplemental,73,07/2005,Incumbent
o_tasks/e1b42128-38ad-4915-a1c6-744b31e743ff,14966,Locate grain line patterns to determine how rocks will split when cut.,Core,62,06/2008,Incumbent
o_tasks/3d0bc090-59d0-42b6-8267-25ca25049733,14967,"Remove pieces of stone from larger masses, using jackhammers, wedges, and other tools.",Core,63,06/2008,Incumbent
o_tasks/e201ee81-a323-425e-aa0f-5377c2b66981,14968,"Insert wedges and feathers into holes, and drive wedges with sledgehammers to split stone sections from masses.",Core,63,06/2008,Incumbent
o_tasks/e84242e4-18b6-498f-8284-12e4dc57d7e0,14969,"Mark dimensions or outlines on stone prior to cutting, using rules and chalk lines.",Core,60,06/2008,Incumbent
o_tasks/26689754-baf1-4643-832b-7d10b51357a2,14970,Cut slabs of stone into sheets that will be used for floors or counters.,Supplemental,61,06/2008,Incumbent
o_tasks/931c42f3-9b5f-48fd-a4e3-fbbd5234c6af,14971,Set charges of explosives to split rock.,Supplemental,58,06/2008,Incumbent
o_tasks/ac95823b-b9c1-424b-be15-3f0521e14978,14972,"Drill holes along outlines, using jackhammers.",Supplemental,57,06/2008,Incumbent
